accession_id,design_description,library_name,library_construction_protocol,paired_nominal_length,paired_nominal_sdev,platform,model,library_layout,library_strategy,library_source,library_selection,extra_attributes,study_accession_id,submission_accession_id,created_at,edited_at
EGAX00001158748,,,,201,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:52+01,2014-08-11 14:54:05+02
EGAX00001158749,,,,178,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:52+01,2014-08-11 14:54:05+02
EGAX00001158750,,,,191,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:52+01,2014-08-11 14:54:16+02
EGAX00001158751,,,,211,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:52+01,2014-08-11 14:54:05+02
EGAX00001158752,,,,210,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:52+01,2014-08-11 14:54:05+02
EGAX00001158753,,,,339,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:52+01,2014-08-11 14:54:06+02
EGAX00001158754,,,,330,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:52+01,2014-08-11 14:54:05+02
EGAX00001158755,,,,193,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:52+01,2014-08-11 14:54:05+02
EGAX00001158756,,,,301,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:52+01,2014-08-11 14:54:05+02
EGAX00001158757,,,,215,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:52+01,2014-08-11 14:54:05+02
EGAX00001158758,,,,195,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:53+01,2014-08-11 14:54:06+02
EGAX00001158759,,,,202,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:53+01,2014-08-11 14:54:05+02
EGAX00001158760,,,,210,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:53+01,2014-08-11 14:54:05+02
EGAX00001158761,,,,187,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:53+01,2014-08-11 14:54:05+02
EGAX00001158762,,,,181,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:53+01,2014-08-11 14:54:05+02
EGAX00001158763,,,,269,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:53+01,2014-08-11 14:54:05+02
EGAX00001158764,,,,199,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:53+01,2014-08-11 14:54:05+02
EGAX00001158765,,,,184,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:53+01,2014-08-11 14:54:06+02
EGAX00001158766,,,,223,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:53+01,2014-08-11 14:54:06+02
EGAX00001158767,,,,203,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:53+01,2014-08-11 14:54:06+02
EGAX00001158768,,,,316,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:53+01,2014-08-11 14:54:09+02
EGAX00001158769,,,,199,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:53+01,2014-08-11 14:54:06+02
EGAX00001158770,,,,264,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:53+01,2014-08-11 14:54:06+02
EGAX00001158771,,,,176,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:53+01,2014-08-11 14:54:09+02
EGAX00001158772,,,,201,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:54+01,2014-08-11 14:54:08+02
EGAX00001158773,,,,297,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:54+01,2014-08-11 14:54:06+02
EGAX00001158774,,,,322,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:54+01,2014-08-11 14:54:08+02
EGAX00001158775,,,,271,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:54+01,2014-08-11 14:54:06+02
EGAX00001158776,,,,278,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:46+01,2014-08-11 14:54:06+02
EGAX00001158777,,,,292,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:46+01,2014-08-11 14:54:06+02
EGAX00001158778,,,,321,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:46+01,2014-08-11 14:54:16+02
EGAX00001158779,,,,299,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:46+01,2014-08-11 14:54:16+02
EGAX00001158780,,,,286,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:47+01,2014-08-11 14:54:08+02
EGAX00001158781,,,,180,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:47+01,2014-08-11 14:54:16+02
EGAX00001158782,,,,238,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:47+01,2014-08-11 14:54:06+02
EGAX00001158783,,,,291,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:47+01,2014-08-11 14:54:06+02
EGAX00001158784,,,,266,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:47+01,2014-08-11 14:54:08+02
EGAX00001158785,,,,274,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:47+01,2014-08-11 14:54:06+02
EGAX00001158786,,,,289,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:47+01,2014-08-11 14:54:16+02
EGAX00001158787,,,,267,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:47+01,2014-08-11 14:54:16+02
EGAX00001158788,,,,230,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:47+01,2014-08-11 14:54:06+02
EGAX00001158789,,,,212,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:47+01,2014-08-11 14:54:08+02
EGAX00001158790,,,,330,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:47+01,2014-08-11 14:54:06+02
EGAX00001158791,,,,203,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:47+01,2014-08-11 14:54:06+02
EGAX00001158792,,,,203,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:47+01,2014-08-11 14:54:08+02
EGAX00001158793,,,,187,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:47+01,2014-08-11 14:54:06+02
EGAX00001158794,,,,339,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:47+01,2014-08-11 14:54:18+02
EGAX00001158795,,,,199,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:47+01,2014-08-11 14:54:10+02
EGAX00001158796,,,,183,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:47+01,2014-08-11 14:54:10+02
EGAX00001158797,,,,197,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:47+01,2014-08-11 14:54:10+02
EGAX00001158798,,,,208,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:47+01,2014-08-11 14:54:10+02
EGAX00001158799,,,,291,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:47+01,2014-08-11 14:54:18+02
EGAX00001158800,,,,202,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:47+01,2014-08-11 14:54:18+02
EGAX00001158801,,,,214,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:47+01,2014-08-11 14:54:18+02
EGAX00001158802,,,,189,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:48+01,2014-08-11 14:54:18+02
EGAX00001158803,,,,228,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:48+01,2014-08-11 14:54:18+02
EGAX00001158804,,,,210,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:48+01,2014-08-11 14:54:18+02
EGAX00001158805,,,,188,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:48+01,2014-08-11 14:54:18+02
EGAX00001158806,,,,192,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:48+01,2014-08-11 14:54:18+02
EGAX00001158807,,,,206,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:48+01,2014-08-11 14:54:10+02
EGAX00001158808,,,,197,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:48+01,2014-08-11 14:54:10+02
EGAX00001158809,,,,249,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:48+01,2014-08-11 14:54:18+02
EGAX00001158810,,,,213,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:48+01,2014-08-11 14:54:10+02
EGAX00001158811,,,,242,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:48+01,2014-08-11 14:54:19+02
EGAX00001158812,,,,187,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:48+01,2014-08-11 14:54:10+02
EGAX00001158813,,,,197,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:48+01,2014-08-11 14:54:19+02
EGAX00001158814,,,,217,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:48+01,2014-08-11 14:54:19+02
EGAX00001158815,,,,187,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:48+01,2014-08-11 14:54:19+02
EGAX00001158816,,,,206,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:48+01,2014-08-11 14:54:08+02
EGAX00001158817,,,,241,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:48+01,2014-08-11 14:54:09+02
EGAX00001158818,,,,218,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:48+01,2014-08-11 14:54:19+02
EGAX00001158819,,,,206,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:48+01,2014-08-11 14:54:09+02
EGAX00001158820,,,,289,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:48+01,2014-08-11 14:54:10+02
EGAX00001158821,,,,206,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:49+01,2014-08-11 14:54:09+02
EGAX00001158822,,,,211,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:49+01,2014-08-11 14:54:09+02
EGAX00001158823,,,,225,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:49+01,2014-08-11 14:54:16+02
EGAX00001158824,,,,215,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:49+01,2014-08-11 14:54:16+02
EGAX00001158825,,,,201,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:49+01,2014-08-11 14:54:16+02
EGAX00001158826,,,,192,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:49+01,2014-08-11 14:54:19+02
EGAX00001158827,,,,183,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:49+01,2014-08-11 14:54:19+02
EGAX00001158828,,,,212,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:49+01,2014-08-11 14:54:09+02
EGAX00001158829,,,,202,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:49+01,2014-08-11 14:54:09+02
EGAX00001158830,,,,198,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:49+01,2014-08-11 14:54:19+02
EGAX00001158831,,,,213,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:49+01,2014-08-11 14:54:17+02
EGAX00001158832,,,,209,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:49+01,2014-08-11 14:54:19+02
EGAX00001158833,,,,203,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:49+01,2014-08-11 14:54:17+02
EGAX00001158834,,,,190,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:49+01,2014-08-11 14:54:19+02
EGAX00001158835,,,,179,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:49+01,2014-08-11 14:54:17+02
EGAX00001158836,,,,267,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:49+01,2014-08-11 14:54:09+02
EGAX00001158837,,,,207,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:49+01,2014-08-11 14:54:17+02
EGAX00001158838,,,,208,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:49+01,2014-08-11 14:54:10+02
EGAX00001158839,,,,296,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:49+01,2014-08-11 14:54:09+02
EGAX00001158840,,,,201,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:49+01,2014-08-11 14:54:17+02
EGAX00001158841,,,,189,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:50+01,2014-08-11 14:54:19+02
EGAX00001158842,,,,258,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:50+01,2014-08-11 14:54:19+02
EGAX00001158843,,,,202,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:50+01,2014-08-11 14:54:10+02
EGAX00001158844,,,,193,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:50+01,2014-08-11 14:54:09+02
EGAX00001158845,,,,287,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:50+01,2014-08-11 14:54:17+02
EGAX00001158846,,,,192,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:50+01,2014-08-11 14:54:19+02
EGAX00001158847,,,,207,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:50+01,2014-08-11 14:54:17+02
EGAX00001158848,,,,200,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:50+01,2014-08-11 14:54:17+02
EGAX00001158849,,,,249,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:50+01,2014-08-11 14:54:10+02
EGAX00001158850,,,,199,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134543,2014-01-23 23:16:50+01,2014-08-11 14:54:19+02
EGAX00001158851,,,,268,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134544,2014-01-23 23:20:07+01,2014-08-11 14:54:19+02
EGAX00001158852,,,,207,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134544,2014-01-23 23:20:07+01,2014-08-11 14:54:09+02
EGAX00001158853,,,,220,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134544,2014-01-23 23:20:07+01,2014-08-11 14:54:09+02
EGAX00001158854,,,,203,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134544,2014-01-23 23:20:07+01,2014-08-11 14:54:09+02
EGAX00001158855,,,,218,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134544,2014-01-23 23:20:07+01,2014-08-11 14:54:09+02
EGAX00001158856,,,,203,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134544,2014-01-23 23:20:07+01,2014-08-11 14:54:10+02
EGAX00001158857,,,,180,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134544,2014-01-23 23:20:07+01,2014-08-11 14:54:10+02
EGAX00001158858,,,,212,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134544,2014-01-23 23:20:07+01,2014-08-11 14:54:09+02
EGAX00001158859,,,,198,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134544,2014-01-23 23:20:08+01,2014-08-11 14:54:17+02
EGAX00001158860,,,,239,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134544,2014-01-23 23:20:08+01,2014-08-11 14:54:17+02
EGAX00001158861,,,,188,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134544,2014-01-23 23:20:08+01,2014-08-11 14:54:10+02
EGAX00001158862,,,,198,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134544,2014-01-23 23:20:08+01,2014-08-11 14:54:20+02
EGAX00001158863,,,,199,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134544,2014-01-23 23:20:08+01,2014-08-11 14:54:20+02
EGAX00001158864,,,,198,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134544,2014-01-23 23:20:08+01,2014-08-11 14:54:20+02
EGAX00001158865,,,,229,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134544,2014-01-23 23:20:08+01,2014-08-11 14:54:09+02
EGAX00001158866,,,,202,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134544,2014-01-23 23:20:08+01,2014-08-11 14:54:20+02
EGAX00001158867,,,,195,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134544,2014-01-23 23:20:08+01,2014-08-11 14:54:12+02
EGAX00001158868,,,,196,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134544,2014-01-23 23:20:08+01,2014-08-11 14:54:12+02
